age_at_entry,gradin4,english,male,left_school,hsgrade_pct,GPA
19,1,0,0,0,95,3.5999999
18,0,1,1,0,25,1.28
18,0,1,1,0,41,3.3599999
19,0,1,1,0,54,3.5599999
19,0,1,0,0,25,1.53
18,0,1,0,0,67,1.4299999
19,1,1,0,0,61,2.24
19,0,0,0,0,30,3.03
19,1,1,0,0,42,2.8499999
19,0,1,1,0,70,1.33
19,1,1,0,0,85,3.6099999
19,1,1,1,0,18,2.6800001
18,0,1,0,0,14,2.01
18,1,1,0,0,74,3.4099998
19,1,1,0,0,35,2.8599999
19,0,1,1,0,33,1.4299999
19,0,1,0,0,50,3
19,1,1,0,0,85,3.03
19,1,1,1,0,61,3.03
19,1,1,0,0,41,3.1599998
20,1,0,0,0,63,2.8999999
18,0,1,1,0,64,1.8
19,0,0,1,0,83,3.3399999
20,1,0,1,0,88,4
19,0,1,0,0,64,.60000002
18,1,1,0,0,56,2.23
19,1,1,0,0,50,2.26
19,0,1,1,0,14,1.24
19,1,1,0,0,40,2.78
20,1,1,0,0,71,2.95
19,0,1,0,0,89,3.6199999
19,1,1,1,0,8,2.5799999
18,0,1,1,0,8,2.0999999
18,1,0,0,0,33,2.5599999
19,1,1,0,0,86,3.1800001
19,0,0,0,0,3,.29000005
18,1,1,1,0,38,2.02
19,1,1,0,0,83,3.7199998
19,0,1,1,0,26,2.25
18,1,1,0,0,74,2.6299999
18,0,1,0,0,81,2.78
19,1,1,0,0,69,2.8999999
19,0,1,1,0,3,2.23
19,0,1,0,0,43,3.21
19,0,1,0,0,72,3.8299999
19,1,1,1,0,90,3.3699999
18,1,1,0,0,89,3.01
17,0,1,0,1,79,2.8
18,1,0,1,0,98,3.6699998
19,0,1,1,0,65,1.58
18,0,1,0,0,28,2.4400001
17,0,1,0,1,41,2.77
19,1,0,1,0,91,3.55
20,1,0,1,0,12,2.0799999
19,0,1,0,0,45,3.24
19,0,1,0,1,50,2.9200001
18,1,1,1,0,82,2.8099999
19,1,1,0,0,33,2.1800001
19,0,1,1,1,73,3.3299999
19,1,0,0,0,79,3.5999999
19,0,0,0,0,58,2.2
19,1,1,0,0,58,1.38
19,0,1,1,0,14,2
20,0,1,1,0,8,1.26
17,1,1,0,0,94,3.6199999
19,0,0,1,1,6,1.1
19,1,0,1,0,74,3.47
18,1,1,1,0,23,2.04
18,0,1,0,0,46,2.96
18,0,1,0,0,63,3.4400001
21,0,0,0,0,9,.1
19,0,1,0,0,70,2.97
19,0,0,0,0,13,1.88
18,1,1,0,0,62,3.3
19,0,1,0,0,14,1.15
19,0,1,0,0,51,2.47
18,0,1,1,0,44,1.4400001
18,1,1,0,0,31,2.9300001
20,1,1,0,0,22,2.2
19,0,1,1,0,23,1.9
18,0,0,0,1,36,2.6800001
20,0,1,0,1,2,.78000003
18,0,1,0,0,90,3.27
20,1,0,1,0,74,3.9299998
19,0,1,1,0,17,1.28
19,1,1,0,0,91,3.8
19,0,1,0,0,8,1.75
17,1,1,0,0,97,3.6999998
19,0,0,1,0,88,2.4400001
19,1,1,0,0,41,3.78
