cz,czname,state_id,pop2000,s_rank,e_rank_b,prob_p1_k5,bowl90,mergebowlingalleys,bowl_per_capita
28504,Burlington,Colorado,11864,.21886,55.831501,.20465116,1,matched (3),.84288603
28605,Goodland,Kansas,8509,.25128999,50.737251,.19491525,1,matched (3),1.1752262
28607,McCook,Nebraska,19695,.27443999,52.444,.18245614,1,matched (3),.50774306
28608,Kearney,Nebraska,56033,.22153001,52.825249,.16442953,5,matched (3),.8923313
28609,Lexington,Nebraska,48464,.27068999,51.37925,.16527778,5,matched (3),1.0316936
28701,Salida,Colorado,16242,.20434,48.092499,.089473687,1,matched (3),.61568773
28702,Glenwood Springs,Colorado,131682,.18374,47.452499,.16901408,4,matched (3),.30376211
28703,Granby,Colorado,12442,.3055,42.696499,.075471699,1,matched (3),.8037293
28704,Laramie,Wyoming,33591,.21173,49.17025,.16286644,3,matched (3),.89309639
28800,Fort Collins,Colorado,459601,.26966,45.168503,.11536778,11,matched (3),.23933804
28900,Denver,Colorado,2449044,.29366001,42.203499,.087027751,50,matched (3),.2041613
29001,Pratt,Kansas,18232,.27110001,52.084503,.15517241,2,matched (3),1.0969723
29003,Dodge City,Kansas,42837,.30847999,47.501999,.11330935,2,matched (3),.4668861
29004,Great Bend,Kansas,47227,.28953001,50.534252,.13128039,3,matched (3),.63522983
29005,Hutchinson,Kansas,82076,.31235999,45.413002,.10738916,2,matched (3),.24367659
29006,Hays,Kansas,38196,.26021999,53.172501,.15789473,5,matched (3),1.3090376
29101,Concordia,Kansas,19894,.29451001,52.80275,.15282393,1,matched (3),.50266415
29102,Superior,Nebraska,11112,.20291001,59.49575,.1863354,1,matched (3),.89992803
29103,Beloit,Kansas,11384,.27063,55.49575,.15037593,1,matched (3),.87842584
29104,Salina,Kansas,63338,.34259,43.85675,.082998663,3,matched (3),.47364932
29201,Hiawatha,Kansas,21441,.28498,56.595501,.17182131,1,matched (3),.46639615
29202,Marysville,Kansas,17448,.20698,57.6045,.14522822,1,matched (3),.57313156
29203,Manhattan,Kansas,143269,.34988999,43.974251,.088531189,4,matched (3),.27919507
29204,Topeka,Kansas,324513,.33930001,42.225502,.070468798,6,matched (3),.18489245
29301,Wichita,Kansas,553506,.33092999,41.412251,.072246693,17,matched (3),.30713308
29302,Newton,Kansas,75784,.28630999,48.08675,.10349651,5,matched (3),.65976989
29303,Winfield,Kansas,51584,.30756,45.108002,.10986267,3,matched (3),.58157569
29401,Ottawa,Kansas,51067,.33713001,44.889248,.092639595,2,matched (3),.39164236
29402,Emporia,Kansas,47830,.33497,46.13525,.10940171,3,matched (3),.62722141
29403,Bartlesville,Kansas,145981,.34709999,43.559502,.089498803,10,matched (3),.68502063
29501,Leavenworth,Kansas,85465,.32710001,42.470501,.080346107,2,matched (3),.23401393
29502,Kansas City,Missouri,1762873,.36493999,40.074497,.070146576,44,matched (3),.24959257
29503,St. Joseph,Missouri,158300,.35027999,43.343998,.083113454,5,matched (3),.31585598
29504,Sedalia,Missouri,88232,.33425,43.245251,.082563154,2,matched (3),.22667512
29505,Polk,Missouri,33693,.33491001,50.571751,.1127451,3,matched (3),.89039266
29601,Columbia,Missouri,302388,.33598,42.788502,.065512978,10,matched (3),.33070096
29602,Eldon,Missouri,79924,.34527001,42.33075,.067785665,5,matched (3),.62559432
29700,Springfield,Missouri,440866,.31525999,41.941502,.071467616,10,matched (3),.2268263
29800,Aurora,Missouri,137575,.31145999,42.585499,.074891463,5,matched (3),.36343813
29901,Joplin,Missouri,266742,.33471,43.050751,.072286703,9,matched (3),.33740467
29902,Center,Missouri,54651,.35608,44.162003,.085664339,4,matched (3),.73191708
30000,Russellville,Arkansas,138646,.31821999,42.670498,.088736087,3,matched (3),.21637841
30100,Fort Smith,Arkansas,332832,.32986999,42.638748,.093938597,3,matched (3),.090135567
30200,Muskogee,Oklahoma,152466,.35806,41.018501,.063101105,3,matched (3),.19676518
30300,Fayetteville,Arkansas,384122,.31805,43.04425,.091806516,4,matched (3),.10413358
30401,Stillwater,Oklahoma,79601,.30215999,45.828999,.098464318,1,matched (3),.12562656
30402,Tulsa,Oklahoma,921246,.34125,41.63525,.078357495,14,matched (3),.15196809
30403,Okmulgee,Oklahoma,51499,.33136001,42.056999,.081061162,1,matched (3),.19417852
30501,Woodward,Oklahoma,26123,.26080999,53.25325,.2,2,matched (3),.76560885
30502,Enid,Oklahoma,102415,.31895,50.013748,.14926879,5,matched (3),.48820972
30601,El Paso,Texas,857648,.21986,43.7425,.086441278,4,matched (3),.046639182
30604,Deming,New Mexico,61950,.29271001,41.51075,.06972789,2,matched (3),.32284099
30701,Roswell,New Mexico,113040,.31838,43.928501,.11661237,1,matched (3),.08846426
30801,Hobbs,New Mexico,90061,.29688999,49.131248,.16194968,2,matched (3),.22207171
30802,Lubbock,Texas,287568,.38323,41.37175,.067375377,5,matched (3),.17387192
30901,Clovis,New Mexico,73078,.33230999,43.73175,.082815737,1,matched (3),.13684009
30903,Amarillo,Texas,240752,.33658001,42.8265,.086136706,4,matched (3),.16614607
30904,Pampa,Texas,57355,.2825,50.636497,.15333334,2,matched (3),.34870544
30908,Plainview,Texas,52751,.35666001,44.495499,.084852293,2,matched (3),.37913972
31001,Garden City,Kansas,52031,.31411001,46.53875,.10891089,2,matched (3),.38438624
31004,Liberal,Kansas,32998,.30328,49.009003,.12114538,1,matched (3),.30304867
31006,Guymon,Oklahoma,29937,.26315999,50.389,.16170213,1,matched (3),.3340348
31007,Dumas,Texas,31880,.33349001,47.826252,.13601533,1,matched (3),.3136763
31101,Victoria,Texas,165277,.35427001,45.824749,.101473,4,matched (3),.24201794
31102,La Grange,Texas,42194,.37599999,48.797001,.11401425,2,matched (3),.47400105
31201,Austin,Texas,1298076,.32335001,40.414749,.069321632,14,matched (3),.10785193
31202,Burnet,Texas,51191,.32521999,43.245499,.094736844,2,matched (3),.39069366
31301,San Antonio,Texas,1724863,.31986001,41.1115,.06438259,25,matched (3),.14493905
31302,Beeville,Texas,47805,.34639999,45.528999,.10215947,2,matched (3),.41836628
31303,Kerrville,Texas,64467,.30921999,44.686501,.095637582,2,matched (3),.31023625
31401,Midland,Texas,262282,.28336,50.737999,.17888699,6,matched (3),.2287614
31402,Pecos,Texas,31286,.22458,53.390499,.23295455,1,matched (3),.31963179
31403,Fort Stockton,Texas,20908,.20920999,52.13625,.22278057,1,matched (3),.47828582
31503,Laredo,Texas,210580,.23163,44.910751,.10885359,1,matched (3),.047487892
31600,Brownsville,Texas,978369,.22654,44.0965,.091609113,9,matched (3),.09198983
31700,Corpus Christi,Texas,503493,.29565001,44.123249,.1055676,7,matched (3),.13902874
31800,College Station,Texas,208437,.34588999,41.685249,.077777781,3,matched (3),.14392838
31900,Pearland,Texas,320912,.30813,45.481251,.11571612,4,matched (3),.12464476
